Manufacturer,Model,Engine Size (L),Fuel Type,Year of Manufacture,Mileage,Price (£)
Audi,Cruze,1.8616576839069636,Hybrid,2010,134487,33663
Nissan,A4,1.2796777402679678,Diesel,2011,69760,14038
Ford,Altima,3.8555046127600807,Electric,2007,131249,11410
Tesla,Civic,2.1846525635320018,Diesel,2010,47938,23264
Chevrolet,Model 3,4.583442719667154,Diesel,2009,109752,12776
Honda,Corolla,4.448190120164961,Diesel,2000,195374,20666
Mercedes-Benz,Cruze,1.26683039709167,Petrol,2004,186561,10126
Volkswagen,Cruze,1.2115303089454343,Hybrid,2004,63010,15393
Ford,Fiesta,2.7680660075801913,Electric,2008,36287,16402
Audi,A4,3.372758592376484,Petrol,2011,18963,25600
Mercedes-Benz,A4,4.059293303920644,Diesel,2020,35354,21609
Mercedes-Benz,Altima,1.5129131861065703,Hybrid,2006,92456,43105
Volkswagen,Corolla,3.133961923053157,Diesel,2013,85126,38234
Tesla,3 Series,3.9563564104782025,Hybrid,2008,158067,40992
Nissan,A4,1.1387164691047156,Diesel,2008,34038,20693
Ford,3 Series,3.904623350686664,Petrol,2001,166824,46416
Ford,Altima,4.364593008119529,Hybrid,2001,174696,18355
Chevrolet,Fiesta,4.153796122836258,Petrol,2010,124149,14740
Chevrolet,Model 3,2.589240498502946,Petrol,2006,79257,29050
Mercedes-Benz,Altima,3.449693456496334,Petrol,2010,179757,13565
Audi,Civic,4.34054657070117,Petrol,2016,69705,47523
Nissan,Fiesta,2.183642668100252,Diesel,2011,133553,33231
Tesla,Golf,1.7242845612428663,Hybrid,2015,178524,31677
Tesla,C-Class,1.1382789248437124,Petrol,2016,96221,47851
Toyota,Model 3,4.115847854079675,Diesel,2010,177067,23734
Ford,Fiesta,1.1686439071179433,Electric,2006,73153,30285
BMW,Fiesta,1.2073274602267134,Petrol,2022,128612,24363
Mercedes-Benz,A4,4.376482392226773,Petrol,2012,53084,31763
Chevrolet,Golf,4.659585568277178,Diesel,2005,33969,17532
Ford,A4,2.6860148468021086,Diesel,2000,8140,16283
BMW,3 Series,3.1881089586653184,Electric,2000,53753,20307
Toyota,Civic,1.8096054062088323,Hybrid,2009,87194,48918
Nissan,Fiesta,3.7036146947753648,Petrol,2003,81827,28553
Nissan,Golf,2.236602781076363,Electric,2014,195447,18493
Audi,3 Series,2.093598654683744,Hybrid,2003,17506,41715
Ford,Cruze,1.6755878126356714,Hybrid,2020,26328,30537
Chevrolet,Fiesta,2.8495535145440707,Diesel,2002,63018,42030
Honda,Golf,1.9855352905927885,Diesel,2001,100667,45134
Volkswagen,A4,4.068677416361401,Electric,2020,134004,26702
Audi,Altima,1.0953529063850334,Petrol,2007,62839,13155
Volkswagen,C-Class,4.251482794576827,Hybrid,2003,92569,18582
Tesla,Cruze,1.3537506604469147,Electric,2010,143841,35941
Toyota,3 Series,2.8610271325891765,Diesel,2009,197730,44400
Mercedes-Benz,Altima,3.400203671731162,Hybrid,2014,144176,47566
Toyota,Cruze,4.64764758616662,Diesel,2009,147826,7060
Tesla,Corolla,1.9201512391696922,Diesel,2008,40189,23407
Ford,C-Class,4.419554517939423,Hybrid,2018,186157,14028
Volkswagen,3 Series,1.1895657013954848,Hybrid,2010,103052,27182
Volkswagen,Fiesta,2.4081725671599408,Hybrid,2011,176173,15398
Chevrolet,3 Series,2.402888642539829,Hybrid,2009,142528,25424
Audi,Civic,3.6641960197275276,Petrol,2021,59731,46243
Audi,Golf,1.7521621085591486,Electric,2017,66317,36615
Volkswagen,A4,1.4762471163207715,Petrol,2010,163686,27133
Tesla,Altima,3.117106104679525,Diesel,2022,1240,20042
Ford,Corolla,2.602810954585803,Diesel,2001,74017,1496
Tesla,Corolla,2.2906969519723885,Diesel,2007,9194,4625
Mercedes-Benz,C-Class,1.307705869111119,Hybrid,2017,131093,21426
Audi,Golf,2.115837983535815,Petrol,2020,21076,20330
Volkswagen,Model 3,4.197436866468396,Electric,2019,10981,11980
Ford,A4,2.247288185902369,Diesel,2004,106641,11096
Volkswagen,Civic,4.1926221803516945,Electric,2009,26405,7660
Audi,A4,4.951999540750807,Electric,2011,46481,14168
Volkswagen,A4,2.1591736307261296,Hybrid,2014,60119,20824
Toyota,Cruze,3.6627860095116196,Electric,2015,194902,41682
Ford,Golf,2.6075262304498814,Hybrid,2004,69537,20741
Mercedes-Benz,Model 3,3.258726233117088,Hybrid,2002,127136,8118
Toyota,Model 3,4.625076829833279,Diesel,2019,92568,21951
Nissan,C-Class,4.282711259803339,Petrol,2014,186958,3573
Nissan,Golf,2.286593298223336,Diesel,2016,76391,16775
Mercedes-Benz,Fiesta,3.9427451033730847,Petrol,2003,195902,5233
BMW,Corolla,3.266818358070329,Hybrid,2004,102894,29025
Nissan,Golf,3.818581863585278,Hybrid,2013,142707,32340
Tesla,Civic,3.578179892915788,Diesel,2019,191653,31062
Ford,Corolla,3.80930754967953,Diesel,2006,58962,25804
Nissan,Cruze,4.383812649285074,Electric,2003,63174,21381
Audi,Civic,2.9937197694659656,Electric,2013,197654,23882
Honda,Corolla,3.1544375810204595,Electric,2019,1635,35160
Toyota,C-Class,2.2840941774830776,Diesel,2005,12889,13130
Mercedes-Benz,3 Series,2.0290956803373645,Hybrid,2013,32037,9611
Mercedes-Benz,Fiesta,3.758133116554665,Hybrid,2021,39297,6161
Mercedes-Benz,Civic,2.5446631027991202,Electric,2006,111116,14578
Honda,Golf,1.8926447623259377,Diesel,2001,53356,31197
Chevrolet,Altima,4.103769376078138,Petrol,2019,199737,22773
Chevrolet,Civic,2.017105606895851,Petrol,2018,193468,14978
Audi,Civic,4.14864772347222,Electric,2002,176447,49922
Toyota,Civic,4.514282978863237,Electric,2020,9091,47742
Honda,Corolla,1.191397857205438,Electric,2012,110817,45482
Nissan,Model 3,1.1407134565431662,Hybrid,2020,99697,22779
Honda,Fiesta,2.7663014737493308,Electric,2014,150187,33453
Toyota,Golf,1.2558777920556827,Hybrid,2005,19862,42929
Volkswagen,C-Class,3.5895750518398835,Petrol,2010,13906,43121
Ford,Fiesta,2.1137229085922153,Hybrid,2011,41230,13581
Honda,3 Series,2.2980033434995906,Electric,2021,73480,40436
Audi,Civic,3.826066607866792,Electric,2013,15612,2315
Tesla,Civic,3.8901196742019803,Diesel,2022,124235,26915
Audi,Corolla,4.118039108597317,Electric,2020,49242,34399
Ford,Model 3,2.279123411615855,Petrol,2003,133370,4487
Audi,3 Series,1.357057378865599,Hybrid,2015,129567,24926
Chevrolet,Altima,3.182278276291047,Petrol,2009,70972,5784
Ford,C-Class,3.3207323384413803,Petrol,2020,123296,5681
Toyota,Fiesta,3.8460274481352164,Hybrid,2019,90098,48112
Nissan,Civic,3.3577184575428656,Petrol,2008,195080,15698
Mercedes-Benz,Corolla,4.330434025676451,Electric,2021,173440,48048
Nissan,C-Class,1.191413948006454,Diesel,2002,44221,38707
Ford,Cruze,1.9327104243632403,Hybrid,2007,199524,8489
Honda,Golf,4.026027809572387,Diesel,2000,16902,3591
Ford,Fiesta,3.247365154869392,Petrol,2008,127593,49272
Nissan,Model 3,1.719466216031667,Electric,2011,54134,46545
Audi,3 Series,1.5406599238534522,Hybrid,2011,40590,10405
Nissan,C-Class,1.0738828739637967,Petrol,2007,56646,33802
Toyota,Civic,2.8468302644599843,Hybrid,2001,140000,7163
Nissan,Golf,2.3916539386825693,Petrol,2020,166597,34142
BMW,Altima,2.9228474687507373,Petrol,2010,197740,44515
Chevrolet,A4,2.933706603167574,Diesel,2000,8479,44514
Honda,Fiesta,1.4023334224238408,Electric,2002,183252,48694
Mercedes-Benz,Model 3,4.588267910754013,Diesel,2013,83881,24653
Chevrolet,Cruze,3.189710328730401,Petrol,2001,142771,35400
Volkswagen,Model 3,4.522850628922034,Electric,2013,68943,37415
Ford,Fiesta,4.680676779596644,Hybrid,2014,195123,9710
Mercedes-Benz,C-Class,3.6212874966611466,Diesel,2012,122728,27740
Ford,Model 3,1.7357995828736574,Diesel,2014,160480,16134
Toyota,Golf,1.015221579416206,Electric,2019,68263,14510
Chevrolet,Altima,4.051753274142126,Electric,2014,44520,22382
Mercedes-Benz,Cruze,4.935451090489284,Diesel,2013,19695,44417
Audi,Altima,2.0981316540920685,Hybrid,2022,81715,41492
BMW,Civic,1.2000710768608371,Hybrid,2004,196429,2778
Toyota,C-Class,2.876574588850296,Hybrid,2005,112166,13405
Volkswagen,Civic,2.3197015905589913,Petrol,2005,118000,44248
Ford,Model 3,1.2824878358691807,Hybrid,2000,131867,8099
Nissan,Altima,3.6255665589941595,Hybrid,2019,189081,25749
Nissan,Cruze,2.3682805103146785,Hybrid,2016,80886,28961
Chevrolet,Cruze,2.5278353337228348,Diesel,2013,15267,26409
BMW,C-Class,1.5110355760976817,Petrol,2013,64826,49469
Chevrolet,3 Series,4.611412017511103,Petrol,2013,114906,19515
Chevrolet,Golf,1.1561976608730196,Petrol,2000,120444,2968
BMW,Altima,1.975323021685052,Diesel,2011,54852,31722
Mercedes-Benz,C-Class,1.6811604603989863,Diesel,2011,131989,48617
Mercedes-Benz,Model 3,3.8303659891123494,Electric,2016,87317,20077
Audi,Cruze,3.605713743554932,Hybrid,2018,174422,37586
Toyota,Civic,1.0173284912030613,Hybrid,2022,68167,21147
Volkswagen,3 Series,1.858562611743988,Electric,2008,73943,6447
Nissan,Fiesta,4.406961428868652,Electric,2013,193192,25462
Tesla,A4,1.2813869675014056,Petrol,2020,13174,10773
Chevrolet,Civic,2.0770706077142855,Diesel,2003,78689,4970
Toyota,C-Class,1.764070072221386,Diesel,2016,152194,30820
Audi,Corolla,1.9568842632700107,Petrol,2004,61360,10874
Toyota,Altima,2.311879751509316,Petrol,2014,179486,8092
BMW,Altima,1.169902084626822,Petrol,2011,48059,43035
Volkswagen,Corolla,2.337503748702368,Petrol,2011,110852,5199
Ford,C-Class,3.2568443487480123,Petrol,2001,56217,37043
Tesla,Fiesta,3.6900107091140266,Diesel,2002,55778,28609
Volkswagen,A4,4.138042122315677,Hybrid,2004,20034,37770
Ford,Golf,2.5695799183705477,Diesel,2007,186768,21129
Honda,A4,1.4546999496157529,Hybrid,2020,102708,24146
Chevrolet,Golf,1.5792778770776508,Petrol,2005,75003,47886
Mercedes-Benz,Corolla,4.398478626249966,Hybrid,2018,93706,30775
Chevrolet,Civic,2.342049755562242,Electric,2009,125312,33079
Mercedes-Benz,C-Class,4.46493547510244,Electric,2006,10499,31059
BMW,C-Class,4.814291528890012,Petrol,2002,117259,22905
Toyota,Fiesta,4.972075974546584,Hybrid,2015,39326,48836
Chevrolet,C-Class,2.921741156888402,Diesel,2009,16225,20342
BMW,Corolla,4.197337341126844,Diesel,2006,196714,8865
BMW,Corolla,1.9322228240508679,Electric,2006,179793,31407
Audi,Fiesta,4.806985297612936,Diesel,2012,178634,41213
Mercedes-Benz,A4,2.786504634096549,Diesel,2013,135759,20303
Nissan,C-Class,3.864331114070033,Hybrid,2005,50976,39016
Volkswagen,Fiesta,4.0371073497429535,Hybrid,2002,160427,44386
BMW,Fiesta,3.0579522451196186,Petrol,2017,98426,48177
Honda,A4,1.5591196394641251,Diesel,2022,89363,3504
Tesla,Model 3,4.138153270044169,Electric,2006,135218,45373
Nissan,C-Class,1.3171453115265277,Electric,2014,22019,32722
Audi,Civic,4.242400613887796,Electric,2005,90527,5120
Toyota,3 Series,2.092698462370445,Hybrid,2015,143516,19283
Audi,Fiesta,2.710593538253076,Electric,2003,84257,16020
BMW,Golf,3.6872226467003757,Diesel,2020,153502,29394
Volkswagen,A4,2.141236938376588,Diesel,2019,10543,41885
Chevrolet,Model 3,3.0181048775013988,Petrol,2013,85144,49021
Audi,Altima,4.543788957706641,Petrol,2017,85575,3027
Volkswagen,3 Series,4.275139853133991,Diesel,2022,118671,37989
Ford,C-Class,3.8619081244366953,Hybrid,2016,145508,9067
Nissan,Fiesta,4.1828233079061405,Petrol,2016,144104,33537
Honda,Cruze,4.864872220612349,Electric,2003,15072,43480
Audi,Fiesta,2.552150469487084,Hybrid,2010,120320,39035
Volkswagen,Civic,2.8956940463788414,Diesel,2022,30954,2129
Volkswagen,Civic,4.362945239384687,Diesel,2013,155203,10469
Volkswagen,Golf,2.4865117615322276,Diesel,2018,70674,36866
Tesla,Altima,2.959774513026094,Electric,2020,132323,1976
Nissan,3 Series,1.3373464321558863,Petrol,2000,148139,33666
Ford,A4,1.1797978838353593,Electric,2019,23185,39141
Nissan,Altima,2.0790771198729345,Electric,2021,30577,16998
Honda,Civic,2.283856489519496,Hybrid,2001,184005,12300
Toyota,Civic,2.2699106571941603,Electric,2012,77660,16795
Chevrolet,Corolla,2.3762797356564493,Electric,2015,26375,10969
Audi,A4,1.4248162612266198,Diesel,2010,33702,13987
Volkswagen,A4,2.484026348412395,Diesel,2015,91389,10498
Honda,Corolla,4.683025638600844,Diesel,2000,158708,32236
BMW,Model 3,1.0247320773910467,Electric,2022,4659,43014
Volkswagen,Fiesta,3.7327162805166814,Diesel,2021,90038,24917
Nissan,Cruze,2.423982521495138,Hybrid,2009,184831,4393
Audi,Model 3,1.8209150809576822,Electric,2014,139792,23267
Volkswagen,Model 3,3.2128203230626564,Diesel,2002,43337,11016
BMW,Altima,1.4002778999128567,Hybrid,2021,162336,47048
Ford,Model 3,2.0722702632776264,Hybrid,2016,191880,8399
Volkswagen,3 Series,2.9598360733454756,Petrol,2007,19612,37432
Tesla,Golf,1.3822362447100787,Electric,2022,115059,39985
Volkswagen,Civic,2.9154487314676314,Petrol,2018,158424,49525
BMW,Corolla,2.899872713049325,Electric,2002,11725,2863
Toyota,C-Class,1.781738039491224,Petrol,2009,155972,5762
Honda,Golf,2.6037227784880925,Diesel,2000,193045,33565
Chevrolet,Civic,2.163935902736779,Petrol,2004,74754,21754
Audi,C-Class,4.076844758607611,Hybrid,2013,174914,26104
Chevrolet,Fiesta,4.1316636948724925,Diesel,2015,122912,21073
Audi,A4,1.1583363473802066,Diesel,2012,76855,37941
Toyota,Golf,2.0730523550207125,Hybrid,2021,139560,46472
BMW,Fiesta,3.609186577272924,Diesel,2002,57999,19796
Nissan,Golf,2.9648588394979507,Diesel,2022,35123,22480
Chevrolet,Corolla,2.1123860304744166,Diesel,2008,81703,43849
Audi,Altima,3.271980306635997,Diesel,2001,74781,48688
Chevrolet,Model 3,3.130612922483526,Petrol,2001,55730,38076
Audi,Corolla,1.1248380232941897,Diesel,2005,119177,10994
Chevrolet,Cruze,2.1608951878796407,Petrol,2006,116724,5317
Mercedes-Benz,Fiesta,1.6323647911559114,Diesel,2009,158280,42871
Chevrolet,Cruze,4.4807881694714435,Electric,2022,93466,9163
Toyota,Altima,3.6534133187562188,Hybrid,2008,128795,15891
Toyota,C-Class,4.672416400707222,Petrol,2006,44262,18650
BMW,Golf,2.402910849028831,Hybrid,2021,143536,19627
Chevrolet,Model 3,2.465933375595758,Electric,2019,134436,12547
Mercedes-Benz,Golf,3.7882033207136994,Petrol,2016,119684,7828
Nissan,3 Series,3.406448295353051,Diesel,2020,4433,49028
Nissan,3 Series,1.3731102742766832,Electric,2017,50782,38896
Nissan,Civic,3.7107515546348364,Electric,2015,72124,47959
Nissan,Corolla,4.064329571738645,Diesel,2006,18304,25147
Chevrolet,3 Series,1.9968287343443012,Petrol,2018,114780,4982
Volkswagen,3 Series,4.235309662219548,Electric,2017,94124,20753
Audi,3 Series,2.119813427275839,Electric,2021,41650,42799
Volkswagen,A4,2.4603112430973244,Hybrid,2000,187435,8801
Nissan,Altima,1.8314730146015048,Petrol,2002,139314,18352
Ford,Fiesta,2.6595347445467,Hybrid,2008,135622,13883
BMW,C-Class,3.6901357329035864,Hybrid,2014,143502,17576
Ford,Civic,4.936200772107458,Petrol,2000,150019,4583
BMW,Altima,2.9192078002567055,Petrol,2021,196120,1384
Audi,Model 3,4.70540837742905,Electric,2016,61218,40723
Toyota,Altima,4.071753976314723,Diesel,2009,103025,9110
Toyota,Cruze,4.650280085345104,Hybrid,2013,135644,33562
Honda,Fiesta,2.632692306248858,Electric,2014,189907,5222
Nissan,A4,2.2643881019156087,Electric,2002,118769,27927
Tesla,A4,2.8300955452292866,Electric,2015,101870,2439
Honda,Civic,3.069157898534918,Electric,2010,113001,15653
Chevrolet,Civic,3.268273033638824,Electric,2011,109676,1219
Audi,Model 3,4.5958544113394755,Diesel,2021,183130,17563
Ford,3 Series,3.808669256661516,Hybrid,2021,100590,26921
Tesla,Altima,1.8420654440348478,Petrol,2000,198194,7326
Mercedes-Benz,Golf,1.9428739441328515,Hybrid,2012,191934,32538
BMW,Fiesta,4.747435222978071,Hybrid,2014,10885,41764
Honda,Altima,3.4643635635785786,Hybrid,2002,8045,5968
Nissan,Model 3,1.583271838630755,Petrol,2014,174649,6661
Volkswagen,Altima,1.8782219631511126,Electric,2022,135361,7522
Mercedes-Benz,C-Class,3.3893036964853467,Electric,2004,45239,24620
BMW,C-Class,4.016938587768404,Electric,2012,117313,21051
Mercedes-Benz,Civic,4.1155186554212575,Diesel,2008,89041,9523
Ford,Cruze,4.382257440609255,Diesel,2006,121474,42983
Ford,C-Class,4.371860664441423,Diesel,2012,144282,47715
BMW,Fiesta,4.020700132302277,Electric,2022,100771,48548
Mercedes-Benz,Altima,2.896508661603583,Diesel,2009,50376,42035
Toyota,C-Class,3.36014298130356,Electric,2010,143326,11517
Ford,A4,2.621205067624836,Electric,2006,73923,37857
Audi,Corolla,1.6280145374096855,Diesel,2018,71536,5365
Tesla,Cruze,3.835352038178733,Electric,2017,170939,8202
Ford,3 Series,1.9954961209156061,Hybrid,2002,130406,17736
Audi,Model 3,2.447519443738141,Petrol,2003,120493,19513
BMW,Golf,3.693365994973457,Petrol,2017,63973,37689
Toyota,Corolla,1.3656808001928815,Petrol,2021,49755,49352
Mercedes-Benz,Corolla,2.200747028910366,Electric,2012,165709,1806
Honda,Cruze,4.655975051187307,Diesel,2014,91781,26175
Chevrolet,Altima,1.7244543261392575,Hybrid,2018,140324,43992
Mercedes-Benz,A4,3.368493810245469,Petrol,2011,2646,9555
Audi,Corolla,3.4467417473823456,Petrol,2015,135637,21723
Nissan,Golf,3.840450924815381,Electric,2021,114633,9528
Volkswagen,C-Class,3.036845276025713,Electric,2019,188275,16430
Mercedes-Benz,Model 3,3.602085005239028,Diesel,2001,29432,29033
Audi,Altima,2.4845479401611152,Electric,2013,168523,34449
Audi,Cruze,4.81730659913245,Electric,2005,156211,11769
BMW,A4,4.466370760002638,Electric,2000,138850,17410
Nissan,Fiesta,4.647510818277873,Electric,2007,99229,31363
Tesla,Civic,4.184786232888093,Petrol,2017,36567,4317
Ford,Model 3,3.346142280789868,Electric,2018,114097,49887
Honda,Fiesta,1.6434623687585557,Diesel,2005,4683,27342
Tesla,Golf,3.4131925056055525,Petrol,2013,32186,42899
Nissan,Golf,2.524785854206978,Electric,2019,126916,21901
Ford,C-Class,4.858538993683533,Petrol,2009,90416,2960
Ford,3 Series,3.274644353954027,Electric,2008,125997,21108
Toyota,Altima,2.8663833612567253,Hybrid,2000,122377,3639
Toyota,Civic,1.0199908385609766,Petrol,2022,50203,24985
Nissan,Civic,1.0382059537199968,Electric,2022,181239,18537
Volkswagen,Civic,3.5992186625209484,Diesel,2016,80729,40411
Chevrolet,Fiesta,4.522901685971817,Electric,2018,72184,10601
Audi,Model 3,1.8913017154238085,Petrol,2006,31193,9117
Audi,Cruze,2.786499516464395,Diesel,2008,120424,32917
Honda,Altima,4.662903861270637,Electric,2022,42904,36235
Audi,Altima,2.6325565430788993,Electric,2013,189617,45532
Volkswagen,A4,4.71708140387764,Diesel,2014,13348,7888
Honda,Model 3,4.408549168016872,Hybrid,2017,166077,5281
Volkswagen,Altima,4.697769268529846,Petrol,2005,30761,4943
Volkswagen,Model 3,4.220627835438953,Petrol,2013,131256,26770
BMW,Civic,2.7976917302180557,Electric,2019,85648,27706
Nissan,Corolla,1.4702638565397095,Electric,2012,10255,38655
Tesla,Golf,1.2633913933573755,Hybrid,2000,126041,35693
BMW,Model 3,3.628015443171982,Electric,2007,55858,39104
Ford,Fiesta,2.9636637789261533,Diesel,2012,78053,27926
Volkswagen,C-Class,2.81947910466171,Hybrid,2021,14490,26337
BMW,Corolla,3.49604771723124,Diesel,2002,90184,20906
Volkswagen,3 Series,2.076667895141525,Petrol,2004,90730,41538
Chevrolet,Altima,4.532985650465317,Petrol,2014,14496,37009
Audi,C-Class,4.100065947651283,Hybrid,2021,4139,28594
Honda,A4,2.5567507155553533,Diesel,2002,48333,33163
Chevrolet,Model 3,2.6658878786010773,Hybrid,2001,172051,5972
Toyota,C-Class,2.7468577626675295,Electric,2008,39102,8278
Audi,A4,3.6749434598205717,Petrol,2000,7021,22219
Nissan,Civic,1.550277163504191,Electric,2021,81287,27431
Volkswagen,Model 3,3.6652928554061153,Petrol,2020,41960,2023
BMW,Cruze,1.951611315089766,Diesel,2013,117494,28159
Mercedes-Benz,Civic,1.9825599457981906,Hybrid,2012,7510,40635
Audi,Civic,2.9368824082619533,Petrol,2009,87250,32191
Toyota,A4,4.297665290109839,Electric,2000,119554,28675
Nissan,3 Series,3.89861730075303,Electric,2010,64633,19550
Mercedes-Benz,Model 3,2.757046544806134,Hybrid,2007,18626,33254
Volkswagen,Cruze,4.6534299640415036,Electric,2007,54993,48883
Tesla,Golf,4.315276248678174,Petrol,2009,186499,14568
Ford,Cruze,4.5539295320919795,Petrol,2013,95495,31254
Audi,Fiesta,2.2410408213643453,Hybrid,2003,40925,1399
BMW,3 Series,2.591266261986207,Diesel,2022,70048,39748
Chevrolet,Cruze,2.6199439193214062,Petrol,2015,74046,4701
Toyota,Corolla,1.4087315087973677,Hybrid,2004,136178,5076
Ford,Civic,2.9022081424324253,Hybrid,2012,35944,23213
Mercedes-Benz,C-Class,1.7060950763833511,Diesel,2002,1491,25396
Honda,Golf,4.939206764721266,Hybrid,2005,180870,8837
Ford,Civic,1.8726572346037123,Petrol,2004,74073,32562
BMW,A4,1.8329092579468922,Diesel,2007,185944,26062
Chevrolet,Corolla,2.5542549906990275,Petrol,2010,68127,29611
BMW,Civic,1.1042391969673644,Petrol,2020,180337,18427
Toyota,Fiesta,4.3752833126335915,Diesel,2014,125616,35622
Chevrolet,Corolla,1.6609790528226376,Hybrid,2018,152525,17047
Chevrolet,Golf,1.3199273003887493,Hybrid,2006,67011,27983
Nissan,Model 3,2.054420981737587,Electric,2001,170667,47406
Toyota,Fiesta,2.176427624975072,Electric,2009,157662,20113
BMW,Cruze,1.2655194708240658,Diesel,2015,78002,17472
Mercedes-Benz,C-Class,1.6425146981191272,Hybrid,2018,15600,21138
Toyota,Civic,3.3556030440406954,Electric,2011,42739,46131
Mercedes-Benz,Civic,2.565058683445086,Diesel,2010,7993,28503
Nissan,C-Class,4.923179190809387,Petrol,2017,137187,25073
Volkswagen,Altima,3.4960150543542823,Petrol,2004,175911,49290
Toyota,Civic,1.1339576675533531,Diesel,2001,163085,47473
Tesla,Cruze,4.319625864602015,Petrol,2005,153614,14842
Mercedes-Benz,Fiesta,1.7497338343278726,Electric,2011,19820,5403
Audi,Fiesta,1.5257779215050866,Petrol,2017,30033,23323
Chevrolet,Altima,1.2086863002414003,Hybrid,2010,20526,46369
BMW,Cruze,2.4911500550802326,Diesel,2007,13194,43667
Ford,A4,2.4036822228561445,Petrol,2021,108745,16137
Nissan,Golf,3.389114145260978,Hybrid,2021,13718,26957
Mercedes-Benz,Golf,3.6655794477771693,Electric,2018,182584,37702
Ford,Altima,3.644814267427548,Diesel,2016,143544,20324
Toyota,Cruze,3.9776879568641563,Hybrid,2012,15727,42679
Chevrolet,Fiesta,3.81255232385723,Electric,2003,81648,18735
Ford,Altima,3.874117752011663,Petrol,2017,135226,3692
Nissan,3 Series,1.5597416248280855,Electric,2015,153967,23160
Nissan,Altima,3.832586167058928,Petrol,2001,20940,45224
Honda,Fiesta,4.721208731587062,Hybrid,2005,128273,19240
BMW,Corolla,2.3150851523674247,Petrol,2014,94607,29103
Tesla,Corolla,4.533570558621079,Hybrid,2018,45532,47493
Audi,C-Class,4.688809628633006,Hybrid,2005,67494,47787
Chevrolet,Model 3,2.7589735856132647,Diesel,2011,112839,8466
Nissan,Corolla,1.5743318196489242,Petrol,2006,24160,12227
Ford,Civic,3.9603810508480692,Electric,2012,92352,3791
BMW,Model 3,3.331048038508049,Diesel,2018,170400,31782
Tesla,3 Series,3.418212727682708,Petrol,2019,92421,12933
Ford,Model 3,2.691946749697677,Hybrid,2015,146808,41051
Audi,3 Series,4.008447495934944,Diesel,2012,166061,7436
Honda,Fiesta,1.988282881970413,Petrol,2003,138055,2233
Toyota,3 Series,3.027334952869761,Hybrid,2022,77160,20458
Nissan,Civic,3.8304565719000414,Electric,2006,26304,30015
Tesla,Fiesta,2.0472053223776427,Hybrid,2002,139265,15644
Honda,Model 3,3.9051631428312477,Petrol,2018,3162,34562
Mercedes-Benz,Golf,1.5823191878425047,Electric,2010,134830,27334
Toyota,Golf,2.3881805987053006,Petrol,2010,66621,30275
Audi,Model 3,3.8051752443593045,Hybrid,2016,119449,38770
Chevrolet,3 Series,2.1956524726865445,Diesel,2010,65007,17116
Nissan,Fiesta,4.674076071296273,Petrol,2015,67125,14973
Tesla,Corolla,2.9169995508840074,Hybrid,2013,190839,45431
Ford,Cruze,3.116881183766821,Diesel,2018,175143,24439
Tesla,Cruze,2.5798465408751303,Hybrid,2020,80910,30544
Mercedes-Benz,Corolla,4.693372736353782,Hybrid,2009,90817,3879
Honda,Golf,2.9308981586420306,Hybrid,2013,12408,1413
BMW,C-Class,1.2024522755888256,Hybrid,2017,193241,47979
BMW,Fiesta,2.7185261326847647,Petrol,2020,89885,43207
Honda,Golf,1.331474685788164,Petrol,2017,23540,23883
Mercedes-Benz,A4,1.9764488434779368,Diesel,2021,87755,16786
Honda,3 Series,3.7932265362798967,Petrol,2021,148851,14785
Chevrolet,Altima,1.5296180135050985,Hybrid,2015,103494,33271
Audi,Model 3,4.6951405287478245,Diesel,2008,96234,26626
Toyota,Altima,3.8224558143964456,Hybrid,2021,169304,28569
Mercedes-Benz,Altima,4.640324079996034,Electric,2014,30184,28450
Chevrolet,A4,3.3311999601445264,Hybrid,2017,51281,12944
Chevrolet,Altima,4.852960012355883,Diesel,2011,174509,42036
BMW,Cruze,3.606421498331141,Hybrid,2022,188662,7567
BMW,Model 3,4.275994165249482,Hybrid,2011,154591,26197
Nissan,Corolla,2.3957917054237092,Diesel,2022,156921,1787
Chevrolet,Corolla,1.795613525729625,Diesel,2020,67498,17735
Ford,Cruze,1.3417308208281797,Hybrid,2002,87307,31029
Chevrolet,Model 3,2.041673140966369,Hybrid,2021,71452,1712
Audi,Fiesta,1.175512495625687,Petrol,2017,24303,1911
Volkswagen,Golf,1.863707492448718,Petrol,2002,137521,8788
Ford,Civic,4.511843582567584,Diesel,2008,112483,44605
Volkswagen,Model 3,4.4592566300349805,Diesel,2021,169435,4332
Tesla,3 Series,3.0950311024380577,Petrol,2012,5795,29443
Ford,Cruze,4.775745568252095,Hybrid,2018,50319,22301
Ford,A4,3.768902024944111,Petrol,2020,50110,4770
Mercedes-Benz,C-Class,2.6901721251737802,Hybrid,2012,119922,20056
Mercedes-Benz,C-Class,1.7979979191499025,Electric,2004,186112,49041
Mercedes-Benz,3 Series,1.739766181489646,Diesel,2014,78887,38164
Tesla,A4,2.832183208547891,Hybrid,2019,109192,14508
Toyota,Civic,3.1520584017715487,Petrol,2010,150224,25839
Mercedes-Benz,3 Series,1.5907011515512401,Petrol,2020,132036,45856
Nissan,A4,2.5238000368374123,Hybrid,2004,128593,41639
Volkswagen,Model 3,2.649759628463935,Petrol,2008,173132,11651
BMW,Model 3,4.602436640887699,Hybrid,2017,102291,47881
Toyota,Civic,2.719180707741386,Electric,2012,36538,5706
